Station_ID	Amp	Degree
NZG	0.186	3.353712258354479
NZF	0.098	9.112354861420016
51425	0.062	11.01513712819361
NZK	0.068	14.473987443412607
NZL	0.045	16.82057054061024
NZJ	0.038	19.884613475610536
52406	0.0374	24.32141884864089
51407	0.025	43.96507551264033
52402	0.037	44.2346271762814
52403	0.02	45.468828249490265
52401	0.036	48.663499163132336
52405	0.0089	61.48199966001423
52404	0.0157	65.69228421018525
21418	0.0372	67.96512694276275
21420	0.0258	68.64559632624348
21419	0.004	69.89814760297222
46408	0.0224	70.08552096180316
21416	0.0281	71.0050025659379
21415	0.0105	71.30759468712263
46402	0.0075	71.95626563073549
46403	0.015	74.68163960181059
46411	0.007	74.80429071944398
43412	0.0063	76.44175034976605
46414	0.0106	76.59706200693
46407	0.05	76.73468917692993
46404	0.0071	78.48409070241965
46409	0.006	78.98419020027134
46416	0.079	79.00842561880178
46415	0.0067	79.44339548226245
32413	0.016	79.92684248047259
32411	0.0104	86.68689461962204
32402	0.005	90.58200702950978
23461	0.0062	92.45234741004667
32401	0.016	93.5259693873061
42409	0.0135	95.5030054742218
