lat,lon,azi,labels
-23.3516,-173.4012,146.90095965109023,3.0
-29.6823,-175.0124,177.913096958673,3.0
-9.505,-176.26167,355.5008838335392,7.0
-24.3093,169.4988,252.17514001931423,5.0
-19.3096,166.782,271.0873586909062,6.0
-26.6672,163.9549,248.1709302359149,5.0
-5.37365,164.99097,305.6574888434179,6.0
19.55578,-156.53592,26.071013388733803,0.0
11.92593,153.90614,314.18513603928875,6.0
4.05,145.58833,298.12524844388207,6.0
19.23953,155.72929,322.52977496621764,7.0
13.0335,132.15067,298.3326791981626,6.0
20.62727,132.14372,305.35092225108446,6.0
38.72833,148.64999,330.2879221212814,7.0
28.8906,135.0228,314.16931519361685,6.0
44.435,155.71666,338.3691580060942,7.0
49.64833,-169.88834,3.801683553688395,0.0
48.12167,163.32834,345.0978028089576,7.0
50.15,171.93333,351.43100651338983,7.0
50.97833,-163.94833,7.579123420676613,0.0
52.66833,-156.97,11.507379088024326,0.0
39.33915,-127.07259,36.89024115751567,0.0
16.03667,-106.975,66.97425113558008,1.0
53.7255,-152.48334,13.75171840666007,0.0
42.70834,-127.825,33.983548427101496,0.0
45.84833,-128.77499,31.223596865042058,0.0
55.32333,-148.55167,15.235035227834237,0.0
49.9,-134.40712,25.590281547084594,0.0
52.97467,-139.94034,20.895911849076203,0.0
-7.40667,-93.51722,94.24010080495664,2.0
4.96,-90.875,83.53722299422387,1.0
-26.73472,-73.9775,118.91755093141538,2.0
9.5,95.6,279.1213512316517,6.0
-20.46861,-73.43278,113.38458852863955,2.0
25.85556,-89.2575,64.57670627081923,1.0
