Station_ID	Degrees
21418	4.979647898385846
21413	11.1632834498179
21419	11.768692265744402
21415	24.054379365427554
52405	26.846260835316222
21414	27.8159764888684
52402	28.321176082745772
52403	34.242416157798296
46408	35.621457087818975
46402	39.33188957141306
46403	43.592259598836335
52406	48.21786764736994
51407	55.659264651050876
51425	61.28798219417724
46411	67.45646806040945
46412	75.62887444006651
43412	95.56967191302853
51406	97.27767046025156
43413	104.01525013772674
32411	114.75107109849522
32413	121.16213702045178
32412	133.14901907997506
