Lon,Lat,Dist (m),Azimuth,Names
-70.211537,-22.093748,819284.2195171088,354.6044744536711,wall
-70.211537,-22.093748,1866117.7369196424,261.8650771306662,ouin
-73.42748,-39.886595,1878204.6254459063,282.2888909233809,litz
-73.42748,-39.886595,1880917.7816560334,266.7838794024879,ouve
-72.1088,-17.0009,1911162.8017033534,263.1450377508154,thio
166.02,55.2,1927108.1541841829,237.41229131443802,kjni
-73.215057,-39.39762,2048633.0895140213,266.0451878067834,hien
-70.198029,-20.803213,2735361.836978151,87.4082907156654,pape
-70.198029,-20.803213,2735395.195456145,87.41020059196406,pape
-73.431,-38.7423,2758623.8156321933,88.16756895049457,vair
-70.147831,-20.204578,3260535.4755204027,249.3002207710199,gcsb
-70.147831,-20.204578,3405177.8360996447,292.72860895966846,tare
-70.215639,-19.596907,3819690.2836452303,233.71093738973036,tbwc
-70.215639,-19.596907,4002505.862541549,76.54374623201403,nuku
-95.196842,16.168436,4175847.633687752,101.53918673680799,gamb
-73.151731,-37.028605,4260489.21184959,225.8378258799174,bapj
-70.32323,-18.4758,4311761.192525397,225.21607021369653,spjy
16.324722,58.634167,6684772.122046925,110.24813338845978,east
-106.423867,23.181417,6684772.122046925,110.24813338845978,east
49.4281,-18.1536,6977181.42064412,317.3954488613973,chij
140.72,41.78,7136245.763209162,289.0653425713222,davo
-102.178053,17.939856,7628917.124693208,293.8820227526402,lega
-102.178053,17.939856,7750130.714228441,321.8732801083461,mera
0.0,0.0,7831080.620825679,320.64862167437656,omae
157.988892,51.726762,7911930.451988939,318.3066726885282,kusm
-72.957142,-36.53797,7962279.514773594,326.04579904883286,ofun
-72.957142,-36.53797,8033188.519494831,307.72144134435035,naha
0.0,0.0,8060431.276522747,316.13068442302443,tosa
-0.24903,49.27936,8090876.447438028,314.28814071157495,abur
-72.05786,-34.687306,8116384.563610289,331.24533547343094,hana
-72.05786,-34.687306,8151455.443473983,330.33268150637554,kush
0.0,0.0,8215592.677162565,304.26188175167226,ishi
0.0,0.0,8245092.691201366,330.9704454407403,abas
-71.618188,-33.581625,8247572.33806554,327.38410280236735,hako
-71.618188,-33.581625,8415432.199328166,343.2887676451199,vodo
-99.903,16.837933,8575730.805578962,349.19962556952106,nksk
-71.627873,-33.027671,8883796.349847712,156.57817833013797,vern
-71.627873,-33.027671,8891046.259064937,63.50442034377707,puer
-71.525427,-32.775493,8891046.259064937,63.50442034377707,puer
-71.525427,-32.775493,8908459.384577474,60.720640877771196,maza
0.0,0.0,8908459.384577474,60.720640877771196,maza
-71.529306,-32.135611,9051622.852632344,67.25121323184648,laza
0.0,0.0,9051622.852632344,67.25121323184648,laza
-73.748199,-43.898463,9097335.086975921,67.77907675143332,zihu
-71.6079,-30.292161,9221695.492935196,69.16718186291152,acap
-71.6079,-30.292161,9339095.09648652,134.74743697375067,pmel
0.0,0.0,9339095.09648652,134.74743697375067,pmel
